Document,DI,TotalCitation,TCperYear,NormalizedTC
"Arvidsson I., 2024, Alzheimer's Research and Therapy",10.1186/s13195-024-01428-5,0,0.0,0.0
"Ataro B.A., 2024, BMC Nursing",10.1186/s12912-024-01881-5,0,0.0,0.0
"Athanasakis K., 2024, BMC Health Services Research",10.1186/s12913-024-10840-4,0,0.0,0.0
"Axenhus M., 2024, BMC Public Health",10.1186/s12889-024-18332-0,0,0.0,0.0
"Ayele G., 2024, BMC Health Services Research",10.1186/s12913-024-10834-2,0,0.0,0.0
"Ayub F., 2024, BMC Medical Education",10.1186/s12909-024-05348-8,0,0.0,0.0
"Azmoude E., 2024, Reproductive Health",10.1186/s12978-024-01788-z,0,0.0,0.0
"Babu S.V., 2024, Scientific Reports",10.1038/s41598-024-55991-w,0,0.0,0.0
"Badri R., 2024, Conflict and Health",10.1186/s13031-024-00581-w,0,0.0,0.0
"Bahraini S., 2024, BMC Health Services Research",10.1186/s12913-024-10910-7,0,0.0,0.0
"Bai C., 2024, BMC Nursing",10.1186/s12912-024-01860-w,0,0.0,0.0
"Bai Y., 2024, Scientific Reports",10.1038/s41598-024-58675-7,0,0.0,0.0
"Bala I., 2024, Social Network Analysis and Mining",10.1007/s13278-024-01229-6,0,0.0,0.0
"Balikuddembe J.K., 2024, BMC Public Health",10.1186/s12889-024-18395-z,0,0.0,0.0
"Balkrishna A., 2024, Journal of Health, Population and Nutrition",10.1186/s41043-024-00537-z,0,0.0,0.0
"Ballaram S., 2024, BMC Medical Education",10.1186/s12909-024-05322-4,0,0.0,0.0
"Bartholomew T.S., 2024, Addiction Science and Clinical Practice",10.1186/s13722-024-00447-9,0,0.0,0.0
"Bassah N., 2024, International Journal for Equity in Health",10.1186/s12939-024-02173-9,0,0.0,0.0
"Baxter H., 2024, Health Research Policy and Systems",10.1186/s12961-024-01127-5,0,0.0,0.0
"Baye T.A., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00530-7,0,0.0,0.0
"Bayram A., 2024, BMC Health Services Research",10.1186/s12913-024-10708-7,0,0.0,0.0
"Bağcı Ş., 2024, BMC Public Health",10.1186/s12889-024-18451-8,0,0.0,0.0
"Bekele B.T., 2024, BMC Health Services Research",10.1186/s12913-024-10865-9,0,0.0,0.0
"Benbassat J., 2024, Israel Journal of Health Policy Research",10.1186/s13584-024-00607-x,0,0.0,0.0
"Benini F., 2024, Italian Journal of Pediatrics",10.1186/s13052-024-01604-1,0,0.0,0.0
"Berentschot J.C., 2024, Respiratory Research",10.1186/s12931-024-02748-8,0,0.0,0.0
"Berhanu R.D., 2024, BMC Nursing",10.1186/s12912-024-01838-8,0,0.0,0.0
"Berk J., 2024, Implementation Science Communications",10.1186/s43058-024-00573-0,0,0.0,0.0
"Berkhout M., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02486-3,0,0.0,0.0
"Berry L., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03090-4,0,0.0,0.0
"Bertelsen A.S., 2024, Trials",10.1186/s13063-024-08044-6,0,0.0,0.0
"Bezie M.M., 2024, BMC Public Health",10.1186/s12889-024-18490-1,0,0.0,0.0
"Bilawal M., 2024, BMC Medical Education",10.1186/s12909-024-05481-4,0,0.0,0.0
"Bindayel I.A., 2024, BMC Medical Education",10.1186/s12909-024-05338-w,0,0.0,0.0
"Biringer A., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06405-2,0,0.0,0.0
"Björklund J., 2024, BMC Cardiovascular Disorders",10.1186/s12872-024-03871-6,0,0.0,0.0
"Blanchet K., 2024, Conflict and Health",10.1186/s13031-023-00564-3,0,0.0,0.0
"Bloska J., 2024, Research Involvement and Engagement",10.1186/s40900-024-00574-2,0,0.0,0.0
"Boag W., 2024, npj Digital Medicine",10.1038/s41746-024-01061-4,0,0.0,0.0
"Bogerd M.J.L., 2024, BMC Primary Care",10.1186/s12875-024-02364-x,0,0.0,0.0
"Bolado G.N., 2024, BMC Nursing",10.1186/s12912-024-01748-9,0,0.0,0.0
"Bonadonna L.V., 2024, AIDS Research and Therapy",10.1186/s12981-024-00608-5,0,0.0,0.0
"Booker L.A., 2024, BMC Nursing",10.1186/s12912-024-01949-2,0,0.0,0.0
"Boone-Heinonen J., 2024, BMC Public Health",10.1186/s12889-024-18257-8,0,0.0,0.0
"Boris P., 2024, Scientific Reports",10.1038/s41598-024-57442-y,0,0.0,0.0
"Borowicz C., 2024, Advances in Simulation",10.1186/s41077-024-00284-5,0,0.0,0.0
"Bose B., 2024, BMC Pregnancy and Childbirth",10.1186/s12884-024-06406-1,0,0.0,0.0
"Bouderhem R., 2024, Humanities and Social Sciences Communications",10.1057/s41599-024-02894-w,0,0.0,0.0
"Bourke J.A., 2024, BMC Health Services Research",10.1186/s12913-024-10847-x,0,0.0,0.0
"Boven A., 2024, BMC Infectious Diseases",10.1186/s12879-024-09364-3,0,0.0,0.0
"Bowman R.L., 2024, BMC Complementary Medicine and Therapies",10.1186/s12906-024-04465-7,0,0.0,0.0
"Bowman-Smart H., 2024, BMC Medical Ethics",10.1186/s12910-024-01032-0,0,0.0,0.0
"Bravi C.A., 2024, Journal of Robotic Surgery",10.1007/s11701-024-01870-5,0,0.0,0.0
"Brierley M.L., 2024, Diabetology and Metabolic Syndrome",10.1186/s13098-024-01336-6,0,0.0,0.0
"Brown E.A., 2024, BMC Medical Education",10.1186/s12909-024-05302-8,0,0.0,0.0
"Bru-Luna L.M., 2024, BMC Psychology",10.1186/s40359-024-01716-7,0,0.0,0.0
"Brückner T.Y., 2024, BMC Health Services Research",10.1186/s12913-024-10845-z,0,0.0,0.0
"Bune G.T., 2024, BMC Sports Science, Medicine and Rehabilitation",10.1186/s13102-024-00860-2,0,0.0,0.0
"Burananayok S., 2024, Scientific Reports",10.1038/s41598-024-57584-z,0,0.0,0.0
"Bužančić I., 2024, Scientific Reports",10.1038/s41598-024-56780-1,0,0.0,0.0
"Byrne C.J., 2024, Harm Reduction Journal",10.1186/s12954-024-00999-8,0,0.0,0.0
"Bø K.-E., 2024, BMC Health Services Research",10.1186/s12913-024-11014-y,0,0.0,0.0
"Cadmus S., 2024, Scientific Reports",10.1038/s41598-024-58147-y,0,0.0,0.0
"Calabrò G.E., 2024, Health Research Policy and Systems",10.1186/s12961-024-01122-w,0,0.0,0.0
"Calcaterra V., 2024, Italian Journal of Pediatrics",10.1186/s13052-024-01644-7,0,0.0,0.0
"Calderon Ramirez C., 2024, BMC Medical Ethics",10.1186/s12910-024-01030-2,0,0.0,0.0
"Camard L., 2024, BMC Medical Education",10.1186/s12909-024-05072-3,0,0.0,0.0
"Carini C., 2024, Journal of Translational Medicine",10.1186/s12967-024-05067-0,0,0.0,0.0
"Carrandi A., 2024, Implementation Science Communications",10.1186/s43058-024-00562-3,0,0.0,0.0
"Caru M., 2024, BMC Complementary Medicine and Therapies",10.1186/s12906-024-04446-w,0,0.0,0.0
"Catho G., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01395-4,0,0.0,0.0
"Causio F.A., 2024, Public Health Genomics",10.1159/000534010,0,0.0,0.0
"Ceccarelli L., 2024, BMC Infectious Diseases",10.1186/s12879-024-09241-z,0,0.0,0.0
"Ceular-Villamandos N., 2024, Humanities and Social Sciences Communications",10.1057/s41599-024-02884-y,0,0.0,0.0
"Cevasco K.E., 2024, Journal of Medical Systems",10.1007/s10916-024-02059-x,0,0.0,0.0
"Chaaban S., 2024, BMC Public Health",10.1186/s12889-024-18496-9,0,0.0,0.0
"Chaaya R., 2024, BMC Psychiatry",10.1186/s12888-024-05762-8,0,0.0,0.0
"Chambers-Lewis M.L., 2024, Journal of Chiropractic Humanities",10.1016/j.echu.2024.02.001,0,0.0,0.0
"Chan K.-T., 2024, Journal of Ethnobiology and Ethnomedicine",10.1186/s13002-024-00674-z,0,0.0,0.0
"Chan V.K.Y., 2024, BMC Medicine",10.1186/s12916-024-03386-z,0,0.0,0.0
"Chan Y.L., 2024, European Journal of Medical Research",10.1186/s40001-024-01831-6,0,0.0,0.0
"Chang M.C., 2024, Network Modeling Analysis in Health Informatics and Bioinformatics",10.1007/s13721-024-00450-9,0,0.0,0.0
"Chang S.-C., 2024, European Journal of Medical Research",10.1186/s40001-024-01771-1,0,0.0,0.0
"Charnley G.E.C., 2024, BMC Public Health",10.1186/s12889-024-18300-8,0,0.0,0.0
"Chaudhry M., 2024, Scientific Reports",10.1038/s41598-024-56933-2,0,0.0,0.0
"Chauhan V., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02514-2,0,0.0,0.0
"Chen C., 2024, Journal of Cardiothoracic Surgery",10.1186/s13019-024-02659-1,0,0.0,0.0
"Chen L., 2024, BMC Medical Education",10.1186/s12909-024-05277-6,0,0.0,0.0
"Chen L., 2024, Journal of Cloud Computing",10.1186/s13677-024-00648-2,0,0.0,0.0
"Chen P., 2024, BMC Palliative Care",10.1186/s12904-024-01425-3,0,0.0,0.0
"Chen Y.-H., 2024, BMC Health Services Research",10.1186/s12913-024-10908-1,0,0.0,0.0
"Chew C.-C., 2024, Trials",10.1186/s13063-024-08111-y,0,0.0,0.0
"Chew K.S., 2024, BMC Public Health",10.1186/s12889-024-18034-7,0,0.0,0.0
"Chewaka M.T., 2024, BMC Health Services Research",10.1186/s12913-024-10927-y,0,0.0,0.0
"Cho K.A., 2024, BMC Nursing",10.1186/s12912-024-01887-z,0,0.0,0.0
"Cho Y., 2024, BMC Infectious Diseases",10.1186/s12879-024-09358-1,0,0.0,0.0
"Choręza P., 2024, Archives of Public Health",10.1186/s13690-024-01277-6,0,0.0,0.0
"Chua J.Y.X., 2024, Journal of Medical Systems",10.1007/s10916-024-02067-x,0,0.0,0.0
"Chuah Y.Y., 2024, BMC Complementary Medicine and Therapies",10.1186/s12906-024-04441-1,0,0.0,0.0
"Cil G., 2024, World Journal of Urology",10.1007/s00345-024-04847-z,0,0.0,0.0
"Claassen L., 2024, International Journal of Emergency Medicine",10.1186/s12245-024-00629-x,0,0.0,0.0
"Clark N.L., 2024, BMC Medical Ethics",10.1186/s12910-024-01048-6,0,0.0,0.0
"Cockshott Z., 2024, BMC Geriatrics",10.1186/s12877-024-04804-w,0,0.0,0.0
"Cohen M.J., 2024, Israel Journal of Health Policy Research",10.1186/s13584-024-00606-y,0,0.0,0.0
"Cole S., 2024, Cost Effectiveness and Resource Allocation",10.1186/s12962-024-00532-5,0,0.0,0.0
"Cong Z., 2024, BMC Geriatrics",10.1186/s12877-024-04956-9,0,0.0,0.0
"Consales A., 2024, BMC Public Health",10.1186/s12889-024-18497-8,0,0.0,0.0
"Corkery-Hayward M., 2024, International Breastfeeding Journal",10.1186/s13006-024-00631-2,0,0.0,0.0
"Cortegiani A., 2024, Journal of Anesthesia, Analgesia and Critical Care",10.1186/s44158-024-00157-3,0,0.0,0.0
"Coudry R.A., 2024, Journal of Pathology Informatics",10.1016/j.jpi.2024.100369,0,0.0,0.0
"Coulombe B., 2024, Molecular Brain",10.1186/s13041-024-01088-4,0,0.0,0.0
"Cowan K., 2024, Trials",10.1186/s13063-024-08012-0,0,0.0,0.0
"Crisafulli S., 2024, Scientific Reports",10.1038/s41598-024-56240-w,0,0.0,0.0
"Cunningham R., 2024, BMC Cancer",10.1186/s12885-024-12292-9,0,0.0,0.0
"Curtis K., 2024, BMC Cancer",10.1186/s12885-024-12099-8,0,0.0,0.0
"Cusworth S., 2024, BMC Medical Informatics and Decision Making",10.1186/s12911-024-02487-2,0,0.0,0.0
"Dadi T.L., 2024, AIDS Research and Therapy",10.1186/s12981-024-00612-9,0,0.0,0.0
"Dalugodage S.S., 2024, BMC Medical Genomics",10.1186/s12920-024-01849-z,0,0.0,0.0
"Dang V.N., 2024, Scientific Reports",10.1038/s41598-024-58427-7,0,0.0,0.0
"Dantas A.A.G., 2024, Scientific Reports",10.1038/s41598-024-60449-0,0,0.0,0.0
"Dar M.S., 2024, Discover Nano",10.1186/s11671-024-04028-2,0,0.0,0.0
"Darvishi E., 2024, BMC Musculoskeletal Disorders",10.1186/s12891-024-07387-0,0,0.0,0.0
"Das S., 2024, BMC Genomics",10.1186/s12864-024-10276-4,0,0.0,0.0
"Day M.A., 2024, BMC Medicine",10.1186/s12916-024-03383-2,0,0.0,0.0
"DeMaria A.L., 2024, BMC Public Health",10.1186/s12889-024-18379-z,0,0.0,0.0
"Dedja M., 2024, EJNMMI Physics",10.1186/s40658-024-00632-4,0,0.0,0.0
"Deekshitha S., 2024, Lasers in Medical Science",10.1007/s10103-024-04050-x,0,0.0,0.0
"Deering K.L., 2024, Orphanet Journal of Rare Diseases",10.1186/s13023-024-03155-4,0,0.0,0.0
"Dehghankar L., 2024, BMC Geriatrics",10.1186/s12877-024-04871-z,0,0.0,0.0
"Delafontaine A.-C., 2024, BMC Palliative Care",10.1186/s12904-024-01393-8,0,0.0,0.0
"Demem K., 2024, BMC Anesthesiology",10.1186/s12871-024-02495-9,0,0.0,0.0
"Deng Q., 2024, BMC Health Services Research",10.1186/s12913-024-10792-9,0,0.0,0.0
"Deressa H.D., 2024, Global Health Research and Policy",10.1186/s41256-024-00352-3,0,0.0,0.0
"Devikrishna N.B., 2024, BMC Psychiatry",10.1186/s12888-024-05684-5,0,0.0,0.0
"Dewez J.E., 2024, BMC Health Services Research",10.1186/s12913-024-10698-6,0,0.0,0.0
"Dey D., 2024, Pediatric Rheumatology",10.1186/s12969-024-00975-3,0,0.0,0.0
"Di Girolamo C., 2024, International Journal for Equity in Health",10.1186/s12939-024-02127-1,0,0.0,0.0
"Dida N., 2024, BMC Pediatrics",10.1186/s12887-024-04656-8,0,0.0,0.0
"Dieckmann P., 2024, Advances in Simulation",10.1186/s41077-024-00278-3,0,0.0,0.0
"Dietz E., 2024, BMC Medicine",10.1186/s12916-024-03351-w,0,0.0,0.0
"Dillon D., 2024, Environmental Health: A Global Access Science Source",10.1186/s12940-024-01080-4,0,0.0,0.0
"Dimnjaković J., 2024, Scientific Reports",10.1038/s41598-024-57871-9,0,0.0,0.0
"Dinagde D.D., 2024, BMC Health Services Research",10.1186/s12913-024-10893-5,0,0.0,0.0
"Dolonbaeva Z., 2024, BMC Public Health",10.1186/s12889-024-18518-6,0,0.0,0.0
"Dong Y., 2024, BMC Infectious Diseases",10.1186/s12879-024-09336-7,0,0.0,0.0
"Doornebosch A.J., 2024, BMC Medical Education",10.1186/s12909-024-05291-8,0,0.0,0.0
"Dovizio M., 2024, Italian Journal of Pediatrics",10.1186/s13052-024-01628-7,0,0.0,0.0
"Draper-Rodi J., 2024, BMC Medical Education",10.1186/s12909-024-05404-3,0,0.0,0.0
"Dupas B., 2024, Trials",10.1186/s13063-024-07994-1,0,0.0,0.0
"Durydivka O., 2024, Scientific Reports",10.1038/s41598-024-58845-7,0,0.0,0.0
"Durão S., 2024, Health Research Policy and Systems",10.1186/s12961-024-01133-7,0,0.0,0.0
"Duś-Ilnicka I., 2024, BMC Medical Education",10.1186/s12909-024-05301-9,0,0.0,0.0
"Eames D., 2024, BMC Medical Education",10.1186/s12909-024-05263-y,0,0.0,0.0
"Edgar A.K., 2024, Advances in Simulation",10.1186/s41077-024-00290-7,0,0.0,0.0
"Eitze S., 2024, BMC Public Health",10.1186/s12889-024-18674-9,0,0.0,0.0
"Ekelund U., 2024, Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",10.1186/s13049-024-01206-0,0,0.0,0.0
"Ekenes M., 2024, BMC Health Services Research",10.1186/s12913-024-10972-7,0,0.0,0.0
"El Hadathy D., 2024, BMC Psychiatry",10.1186/s12888-024-05745-9,0,0.0,0.0
"El-Sayed M.M., 2024, BMC Nursing",10.1186/s12912-024-01913-0,0,0.0,0.0
"El-Shiekh R.A., 2024, Applied Biological Chemistry",10.1186/s13765-024-00886-7,0,0.0,0.0
"Elfios E., 2024, BMC Nursing",10.1186/s12912-024-01902-3,0,0.0,0.0
"Elhabashy S., 2024, BMC Nursing",10.1186/s12912-024-01869-1,0,0.0,0.0
"Eli K., 2024, BMC Primary Care",10.1186/s12875-024-02283-x,0,0.0,0.0
"Elshami M., 2024, BMC Public Health",10.1186/s12889-024-18437-6,0,0.0,0.0
"Elshawi R., 2024, Scientific Reports",10.1038/s41598-024-59401-z,0,0.0,0.0
"Elshiwy K., 2024, BMC Pulmonary Medicine",10.1186/s12890-024-03001-0,0,0.0,0.0
"Endalamaw A., 2024, BMC Health Services Research",10.1186/s12913-024-10828-0,0,0.0,0.0
"Endalamaw A., 2024, BMC Primary Care",10.1186/s12875-024-02336-1,0,0.0,0.0
"Endeshaw D., 2024, BMC Emergency Medicine",10.1186/s12873-024-00982-3,0,0.0,0.0
"Erden Y., 2024, Archives of Osteoporosis",10.1007/s11657-024-01376-5,0,0.0,0.0
"Eriksson J., 2024, International Journal for Equity in Health",10.1186/s12939-024-02159-7,0,0.0,0.0
"Eslami Jahromi M., 2024, BMC Public Health",10.1186/s12889-024-18702-8,0,0.0,0.0
"Everard G., 2024, Journal of NeuroEngineering and Rehabilitation",10.1186/s12984-024-01332-x,0,0.0,0.0
"Eyamu J., 2024, Alzheimer's Research and Therapy",10.1186/s13195-024-01452-5,0,0.0,0.0
"Fabre V., 2024, Antimicrobial Resistance and Infection Control",10.1186/s13756-024-01400-w,0,0.0,0.0
"Fadiel A., 2024, Scientific Reports",10.1038/s41598-024-57604-y,0,0.0,0.0
"Faissner M., 2024, Philosophy, Ethics, and Humanities in Medicine",10.1186/s13010-024-00156-w,0,0.0,0.0
"Fang C., 2024, BMC Health Services Research",10.1186/s12913-024-11015-x,0,0.0,0.0
"Faramarzi M., 2024, BMC Women's Health",10.1186/s12905-024-03102-2,0,0.0,0.0
"Farhat H., 2024, BMC Emergency Medicine",10.1186/s12873-024-00992-1,0,0.0,0.0
"Farhat T., 2024, Conflict and Health",10.1186/s13031-024-00596-3,0,0.0,0.0
"Fariman S.K., 2024, Scientific Reports",10.1038/s41598-024-57521-0,0,0.0,0.0
"Farinhas J.H., 2024, Scientific Reports",10.1038/s41598-024-60850-9,0,0.0,0.0
"Fassi C.F., 2024, BMC Nursing",10.1186/s12912-024-01864-6,0,0.0,0.0
"Fathizadeh H., 2024, BMC Nursing",10.1186/s12912-024-01836-w,0,0.0,0.0
"Fernandez S.B., 2024, BMC Medical Ethics",10.1186/s12910-024-01015-1,0,0.0,0.0
"Ferrari D., 2024, Techniques in Coloproctology",10.1007/s10151-024-02922-6,0,0.0,0.0
"Fitzpatrick K.M., 2024, International Journal for Equity in Health",10.1186/s12939-024-02185-5,0,0.0,0.0
"Fontaine G., 2024, Systematic Reviews",10.1186/s13643-024-02512-5,0,0.0,0.0
"Forse R., 2024, Health Research Policy and Systems",10.1186/s12961-024-01132-8,0,0.0,0.0
"Frank H.E., 2024, Pilot and Feasibility Studies",10.1186/s40814-024-01467-7,0,0.0,0.0
"Franzén C., 2024, BMC Health Services Research",10.1186/s12913-024-10949-6,0,0.0,0.0
"Fu L., 2024, BMC Public Health",10.1186/s12889-024-18464-3,0,0.0,0.0
"Fuchs T.I., 2024, BMC Health Services Research",10.1186/s12913-024-10993-2,0,0.0,0.0
"Fuentes-Cimma J., 2024, BMC Medical Education",10.1186/s12909-024-05439-6,0,0.0,0.0
"Fullaondo A., 2024, BMC Health Services Research",10.1186/s12913-024-10810-w,0,0.0,0.0
"Fung A.W.T., 2024, BMC Geriatrics",10.1186/s12877-024-04879-5,0,0.0,0.0
"Furness A., 2024, BMC Pediatrics",10.1186/s12887-024-04692-4,0,0.0,0.0
"Gaber S.N., 2024, BMC Health Services Research",10.1186/s12913-024-10914-3,0,0.0,0.0
"Gaid D., 2024, Implementation Science Communications",10.1186/s43058-024-00585-w,0,0.0,0.0
"Gao Q., 2024, BMC Health Services Research",10.1186/s12913-024-11020-0,0,0.0,0.0
"Gareri P., 2024, Aging Clinical and Experimental Research",10.1007/s40520-024-02749-z,0,0.0,0.0
"Garzon S., 2024, Journal of Robotic Surgery",10.1007/s11701-024-01948-0,0,0.0,0.0
"Gauss T., 2024, Critical Care",10.1186/s13054-024-04863-w,0,0.0,0.0
"Gebremichael M.A., 2024, BMC Women's Health",10.1186/s12905-024-03009-y,0,0.0,0.0
"Geng Y., 2024, Journal of Nanobiotechnology",10.1186/s12951-024-02370-2,0,0.0,0.0
